"","SRR2166176","SRR2167642"
"SPACA1",0,0.0179369628993721
"EIF6",14.0726436905086,17.1067346288251
"ZBTB49",1.8202670979101,2.2401646188032
"KLK14",0.618725191685106,0.661609287271923
"LINC01450",0,0.00940000200978435
"ABCG1",3.11435626797104,3.5527845857817
"SMAD1-AS1",6.33614472545304,5.35647682092684
"B4GALT2",2.93089346887509,2.92735799598449
"FAM71F2",1.24700720660512,1.12950024149483
"IMMP2L",1.3227117789458,1.07006525370661
"PAK2",8.90183057350183,10.4931232961327
"HCG27",6.90498014827054,3.72652976872002
"RARRES2",0.591052726275279,0.814306368794504
"SLC5A11",1.82862886660658,1.82326732979767
"AHSA2P",34.4135623340291,31.4406584044027
"PTP4A2",15.5379836062865,18.0793251994543
"DIO3OS",0.0373290906667653,0.114959189312235
"KIF25-AS1",0.0774074370858202,0.586029853276442
"FAM76A",5.17739470249714,8.01400736540762
"HOMEZ",1.24721928716918,1.54081558061141
"C8orf48",0,0.233490845769681
"LOC441242",0.868052207320191,1.15685182736317
"IQCA1L",0.0211459806901108,0.0108535762766901
"UBR4",6.97606802795721,8.21654651865828
"GRAMD2A",0.131811501049285,0.196813837949397
"CLDN10",3.56252843141894,4.10172703082329
"ZNF185",1.01832925961778,1.50428943218425
"CD2BP2",25.5791265332252,26.0790984992917
"TMPRSS15",0,0
"MTRNR2L8",0.527416136951582,0.659111115596268
"CELF6",11.0589942892107,8.2749988707003
"CEP152",0.713327349344966,0.657154278603955
"TTR",0.20625359444404,0.366993727798474
"LINC01734",0,0
"COX4I2",0.301810815304309,0.66390057484689
"SSTR3",1.2292732477358,0.332434886383187
"TMEM30B",0.0467803388516855,0.123484615979126
"EGFR",0.53735400135109,1.50774574639315
"DNASE2B",0.0809736333743268,0.0831225109970903
"SELENOW",56.3736249987353,49.1478238516098
"KLHL26",2.11154320876129,2.22512567899903
"CPSF3",3.71013496807621,4.37825607008871
"SPATA24",0.570783410671023,0.636881365405447
